participant,path,drive_filename,emotion_sentence,familiarity,valence,arousal,timestamp,annotation_order,total_annotations,timestamp_imputed,start_time,end_time
_0sca4vavd,/audioFolder1//film-score-emotion-survey/audioFolder1/Antonio_Sanchez_Doors_and_Distance_Birdman_sample_2.mp3,antoniosanchezdoorsanddistancebirdmansample2mp3.mp3,"Where i placed the marker the feeling becomes slightly happier as its a funky sound, but it's quite subtle in terms of energy.",familiar-feeling-not-familiar,0.744921875,0.1884765625,7.901600538945617,0,1,7.901600538945617,6.901600538945617,8.901600538945617
_0sca4vavd,/audioFolder2//film-score-emotion-survey/audioFolder2/Dickon_Hinchliffe_-_Octopus_The_Lost_Daughter_sample_1.mp3,dickonhinchliffeoctopusthelostdaughtersample1mp3.mp3,"the first dot it has a curious feeling, like sneaky, at the second region/dot it turns and become very subtly more sinister.",never-heard-this,-0.5350781250000001,0.1784765625,6.365885234379807,0,2,6.365885234379807,5.365885234379807,7.365885234379807
_0sca4vavd,/audioFolder2//film-score-emotion-survey/audioFolder2/Dickon_Hinchliffe_-_Octopus_The_Lost_Daughter_sample_1.mp3,dickonhinchliffeoctopusthelostdaughtersample1mp3.mp3,"the first dot it has a curious feeling, like sneaky, at the second region/dot it turns and become very subtly more sinister.",never-heard-this,0.534921875,0.1934765624999999,0.0932790501083397,1,2,0.0932790501083397,0.0,1.0932790501083396
_0sca4vavd,/audioFolder3//film-score-emotion-survey/audioFolder3/Gregoire_Hetzel_-_Trente_ans__Un_amour_impossible_sample_1.mp3,gregoirehetzeltrenteansunamourimpossiblesample1mp3.mp3,"the first marker near where something begins, you know from the start its a sad feeling but that solo note feels more lonely and sad and then after the second marker where the next solo note comes in which sounds more delicate it makes it feel even sadder.",familiar-feeling-not-familiar,-0.5450781250000001,-0.5515234375,2.110123717817918,0,2,2.110123717817918,1.1101237178179182,3.110123717817918
_0sca4vavd,/audioFolder3//film-score-emotion-survey/audioFolder3/Gregoire_Hetzel_-_Trente_ans__Un_amour_impossible_sample_1.mp3,gregoirehetzeltrenteansunamourimpossiblesample1mp3.mp3,"the first marker near where something begins, you know from the start its a sad feeling but that solo note feels more lonely and sad and then after the second marker where the next solo note comes in which sounds more delicate it makes it feel even sadder.",familiar-feeling-not-familiar,-0.730078125,-0.7165234375,10.213430136258658,1,2,10.213430136258658,9.213430136258658,11.213430136258658
_0sca4vavd,/audioFolder4//film-score-emotion-survey/audioFolder4/It'll_All_Be_Over_The_Supreme_Jubilees_Moonlight_sample_2.mp3,itllallbeoverthesupremejubileesmoonlightsample2mp3.mp3,"very relaxed vibes overall, but i know this song very well and it brings a bittersweet feeling to me, at times i hear it slightly sad, at times its slightly positive but it's very peaceful and sleepy. ",definitely-familiar,-0.230078125,-0.8965234375,11.216895647301545,0,2,11.216895647301545,10.216895647301545,12.216895647301545
_0sca4vavd,/audioFolder4//film-score-emotion-survey/audioFolder4/It'll_All_Be_Over_The_Supreme_Jubilees_Moonlight_sample_2.mp3,itllallbeoverthesupremejubileesmoonlightsample2mp3.mp3,"very relaxed vibes overall, but i know this song very well and it brings a bittersweet feeling to me, at times i hear it slightly sad, at times its slightly positive but it's very peaceful and sleepy. ",definitely-familiar,0.2049218749999999,-0.8565234374999999,0.1492464801733435,1,2,0.1492464801733435,0.0,1.1492464801733435
_0sca4vavd,/audioFolder5//film-score-emotion-survey/audioFolder5/Love_Scooter_Thomas_Newman_Elemental_sample_2.mp3,lovescooterthomasnewmanelementalsample2mp3.mp3,slightly sinister feeling but with a hint of curiousity.,never-heard-this,-0.350078125,0.7234765624999999,2.549333333333333,0,1,2.549333333333333,1.5493333333333328,3.549333333333333
_0sca4vavd,/audioFolder6//film-score-emotion-survey/audioFolder6/Prayer_Hans_Zimmer_The_Creator_sample_2.mp3,prayerhanszimmerthecreatorsample2mp3.mp3,"i think this excerpt sounds quite haunting, it has high energy and almost feels tense but theres something quite other-wordly and holy about it, the second pointer indicates where i felt the tension rising, the feeling becoming more intense and more negetive.",familiar-feeling-not-familiar,-0.4000781249999999,0.3534765625,6.585421469080265,0,2,6.585421469080265,5.585421469080265,7.585421469080265
_0sca4vavd,/audioFolder6//film-score-emotion-survey/audioFolder6/Prayer_Hans_Zimmer_The_Creator_sample_2.mp3,prayerhanszimmerthecreatorsample2mp3.mp3,"i think this excerpt sounds quite haunting, it has high energy and almost feels tense but theres something quite other-wordly and holy about it, the second pointer indicates where i felt the tension rising, the feeling becoming more intense and more negetive.",familiar-feeling-not-familiar,-0.605078125,0.7434765624999999,12.455574323645909,1,2,12.455574323645909,11.455574323645909,13.455574323645909
